"Mês/Ano do tratamento";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Ignorado";" Total"
"Jan/2013";"0";"0";"2";"1";"0";"0";"3"
"Fev/2013";"0";"0";"1";"0";"0";"0";"1"
"Mar/2013";"0";"1";"5";"1";"0";"0";"7"
"Abr/2013";"0";"0";"3";"2";"1";"0";"6"
"Mai/2013";"0";"2";"0";"1";"3";"0";"6"
"Jun/2013";"0";"2";"5";"1";"0";"0";"8"
"Jul/2013";"0";"1";"6";"3";"0";"0";"10"
"Ago/2013";"0";"1";"6";"2";"0";"0";"9"
"Set/2013";"0";"1";"5";"1";"1";"0";"8"
"Out/2013";"0";"0";"7";"5";"0";"0";"12"
"Nov/2013";"0";"2";"5";"2";"0";"0";"9"
"Dez/2013";"0";"0";"2";"0";"1";"0";"3"
"Jan/2014";"0";"3";"1";"2";"1";"0";"7"
"Fev/2014";"0";"1";"6";"0";"0";"0";"7"
"Mar/2014";"0";"5";"6";"3";"0";"0";"14"
"Abr/2014";"0";"1";"6";"3";"0";"0";"10"
"Mai/2014";"1";"2";"7";"2";"1";"0";"13"
"Jun/2014";"0";"1";"5";"3";"2";"0";"11"
"Jul/2014";"0";"0";"8";"3";"0";"0";"11"
"Ago/2014";"2";"1";"4";"0";"2";"0";"9"
"Set/2014";"1";"0";"9";"2";"0";"0";"12"
"Out/2014";"0";"1";"7";"3";"1";"0";"12"
"Nov/2014";"0";"0";"10";"0";"0";"0";"10"
"Dez/2014";"0";"0";"8";"9";"3";"0";"20"
"Jan/2015";"0";"0";"5";"6";"0";"0";"11"
"Fev/2015";"0";"0";"7";"2";"1";"0";"10"
"Mar/2015";"0";"1";"7";"4";"3";"0";"15"
"Abr/2015";"1";"0";"9";"4";"2";"0";"16"
"Mai/2015";"0";"1";"17";"6";"0";"0";"24"
"Jun/2015";"1";"3";"10";"0";"1";"0";"15"
"Jul/2015";"2";"3";"15";"7";"0";"0";"27"
"Ago/2015";"0";"1";"21";"7";"3";"0";"32"
"Set/2015";"1";"2";"14";"6";"1";"0";"24"
"Out/2015";"0";"4";"16";"6";"0";"0";"26"
"Nov/2015";"2";"5";"21";"7";"5";"0";"40"
"Dez/2015";"0";"3";"12";"5";"2";"0";"22"
"Jan/2016";"0";"7";"21";"4";"5";"0";"37"
"Fev/2016";"1";"4";"11";"7";"2";"0";"25"
"Mar/2016";"0";"3";"18";"11";"2";"0";"34"
"Abr/2016";"0";"3";"7";"6";"0";"0";"16"
"Mai/2016";"0";"2";"16";"15";"2";"0";"35"
"Jun/2016";"1";"5";"32";"12";"5";"0";"55"
"Jul/2016";"0";"8";"23";"10";"5";"0";"46"
"Ago/2016";"0";"6";"24";"11";"4";"0";"45"
"Set/2016";"2";"4";"20";"8";"3";"0";"37"
"Out/2016";"0";"3";"32";"8";"2";"0";"45"
"Nov/2016";"1";"4";"31";"10";"1";"0";"47"
"Dez/2016";"3";"3";"27";"9";"3";"0";"45"
"Jan/2017";"0";"5";"27";"14";"0";"0";"46"
"Fev/2017";"1";"6";"28";"11";"5";"0";"51"
"Mar/2017";"2";"7";"39";"16";"4";"0";"68"
"Abr/2017";"1";"10";"37";"13";"1";"0";"62"
"Mai/2017";"0";"7";"50";"19";"2";"0";"78"
"Jun/2017";"0";"5";"41";"13";"2";"0";"61"
"Jul/2017";"2";"10";"47";"27";"1";"0";"87"
"Ago/2017";"1";"7";"44";"22";"4";"0";"78"
"Set/2017";"0";"9";"42";"17";"5";"0";"73"
"Out/2017";"3";"6";"54";"20";"4";"0";"87"
"Nov/2017";"1";"12";"45";"29";"4";"0";"91"
"Dez/2017";"4";"8";"44";"18";"6";"0";"80"
"Jan/2018";"6";"18";"59";"22";"8";"0";"113"
"Fev/2018";"0";"10";"54";"22";"3";"0";"89"
"Mar/2018";"2";"24";"66";"36";"5";"0";"133"
"Abr/2018";"1";"13";"80";"22";"3";"0";"119"
"Mai/2018";"6";"122";"404";"204";"40";"0";"776"
"Jun/2018";"11";"111";"389";"204";"28";"0";"743"
"Jul/2018";"16";"139";"409";"212";"37";"0";"813"
"Ago/2018";"12";"135";"452";"225";"46";"0";"870"
"Set/2018";"10";"104";"361";"240";"34";"0";"749"
"Out/2018";"17";"126";"422";"234";"36";"0";"835"
"Nov/2018";"14";"121";"393";"259";"41";"0";"828"
"Dez/2018";"14";"142";"365";"218";"25";"0";"764"
"Jan/2019";"13";"152";"455";"238";"54";"0";"912"
"Fev/2019";"16";"136";"510";"195";"51";"0";"908"
"Mar/2019";"19";"153";"469";"235";"48";"0";"924"
"Abr/2019";"24";"141";"485";"257";"54";"0";"961"
"Mai/2019";"14";"170";"554";"285";"72";"0";"1095"
"Jun/2019";"26";"201";"590";"291";"81";"0";"1189"
"Jul/2019";"28";"207";"663";"347";"89";"0";"1334"
"Ago/2019";"28";"229";"728";"367";"114";"0";"1466"
"Set/2019";"29";"278";"847";"460";"120";"0";"1734"
"Out/2019";"35";"295";"967";"530";"124";"0";"1951"
"Nov/2019";"56";"290";"988";"518";"134";"0";"1986"
"Dez/2019";"96";"394";"1224";"669";"173";"0";"2556"
"Jan/2020";"93";"521";"1331";"765";"160";"0";"2870"
"Fev/2020";"63";"413";"1145";"631";"145";"0";"2397"
"Mar/2020";"66";"417";"1212";"608";"163";"0";"2466"
"Abr/2020";"62";"345";"983";"519";"142";"0";"2051"
"Mai/2020";"45";"308";"1051";"526";"177";"0";"2107"
"Jun/2020";"59";"322";"919";"526";"133";"0";"1959"
"Jul/2020";"65";"364";"974";"534";"127";"0";"2064"
"Ago/2020";"57";"342";"949";"526";"148";"0";"2022"
"Set/2020";"57";"343";"988";"494";"131";"0";"2013"
"Out/2020";"53";"348";"968";"506";"149";"0";"2024"
"Nov/2020";"59";"346";"1012";"540";"143";"0";"2100"
"Dez/2020";"55";"291";"918";"505";"139";"0";"1908"
"Jan/2021";"57";"369";"966";"534";"138";"0";"2064"
"Fev/2021";"47";"373";"915";"455";"113";"0";"1903"
"Mar/2021";"73";"403";"1090";"535";"153";"0";"2254"
"Abr/2021";"47";"332";"884";"523";"141";"0";"1927"
"Mai/2021";"39";"351";"1025";"495";"147";"0";"2057"
"Jun/2021";"68";"353";"979";"513";"143";"0";"2056"
"Jul/2021";"67";"347";"979";"506";"148";"0";"2047"
"Ago/2021";"66";"407";"1089";"557";"148";"0";"2267"
"Set/2021";"56";"319";"949";"516";"143";"0";"1983"
"Out/2021";"70";"341";"1032";"531";"135";"0";"2109"
"Nov/2021";"65";"323";"1019";"526";"135";"0";"2068"
"Dez/2021";"53";"354";"1024";"508";"152";"0";"2091"
"Jan/2022";"70";"385";"939";"552";"146";"0";"2092"
"Fev/2022";"53";"304";"891";"492";"127";"0";"1867"
"Mar/2022";"73";"435";"1073";"605";"173";"0";"2359"
"Abr/2022";"65";"343";"927";"512";"169";"0";"2016"
"Mai/2022";"88";"395";"1046";"566";"175";"0";"2270"
"Jun/2022";"61";"283";"939";"548";"184";"0";"2015"
"Jul/2022";"70";"324";"1017";"546";"143";"0";"2100"
"Ago/2022";"65";"397";"1090";"640";"173";"0";"2365"
"Set/2022";"61";"348";"989";"550";"148";"0";"2096"
"Out/2022";"69";"347";"1084";"581";"162";"0";"2243"
"Nov/2022";"73";"322";"1016";"574";"165";"0";"2150"
"Dez/2022";"59";"345";"987";"505";"136";"0";"2032"
"Jan/2023";"83";"408";"1083";"562";"174";"0";"2310"
"Fev/2023";"70";"321";"938";"505";"160";"0";"1994"
"Mar/2023";"99";"434";"1204";"589";"168";"0";"2494"
"Abr/2023";"66";"330";"947";"500";"146";"0";"1989"
"Mai/2023";"84";"426";"1160";"650";"184";"0";"2504"
"Jun/2023";"82";"400";"1020";"613";"171";"0";"2286"
"Jul/2023";"80";"375";"1140";"614";"189";"0";"2398"
"Ago/2023";"77";"449";"1257";"734";"187";"0";"2704"
"Set/2023";"59";"389";"1067";"562";"187";"0";"2264"
"Out/2023";"70";"406";"1154";"636";"184";"0";"2450"
"Nov/2023";"95";"399";"1138";"612";"167";"0";"2411"
"Dez/2023";"68";"322";"1053";"560";"180";"0";"2183"
"Jan/2024";"65";"386";"1144";"592";"178";"0";"2365"
"Fev/2024";"73";"326";"1105";"536";"134";"0";"2174"
"Mar/2024";"82";"416";"1166";"522";"178";"0";"2364"
"Abr/2024";"72";"439";"1098";"593";"205";"0";"2407"
"Mai/2024";"85";"376";"1050";"529";"147";"0";"2187"
"Jun/2024";"68";"321";"950";"563";"139";"0";"2041"
"Jul/2024";"61";"330";"1051";"515";"153";"0";"2110"
"Ago/2024";"57";"340";"968";"487";"131";"0";"1983"